"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"11","Gold","2016","R","27 Jan 2017","120 min","Adventure, Drama, Thriller","Stephen Gaghan","Patrick Massett, John Zinman","Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll","Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.","English, Indonesian","USA","Nominated for 1 Golden Globe. Another 1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BNjEwNzMzMDI4Nl5BMl5BanBnXkFtZTgwMTM2ODkwMTI@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","43%","Metacritic","49/100","49","6.7","46,343","tt1800302","movie","02 May 2017","$7,222,964","TWC-Dimension","http://gold-film.com/","True",NA
"12","A Dog's Purpose","2017","PG","27 Jan 2017","100 min","Adventure, Comedy, Drama, Family, Fantasy","Lasse Hallström","W. Bruce Cameron (screenplay by), Cathryn Michon (screenplay by), Audrey Wells (screenplay by), Maya Forbes (screenplay by), Wallace Wolodarsky (screenplay), W. Bruce Cameron (based on the novel by)","Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar","A dog looks to discover his purpose in life over the course of several lifetimes and owners.","English","USA, India","3 nominations.","https://m.media-amazon.com/images/M/MV5BNDQ4NjkxNzgzN15BMl5BanBnXkFtZTgwMjAzODQ4OTE@._V1_SX300.jpg","Internet Movie Database","7.0/10","Rotten Tomatoes","34%","Metacritic","43/100","43","7.0","47,696","tt1753383","movie","02 May 2017","$64,304,940","Amblin Entertainment","http://www.adogspurposemovie.com/","True",NA
"13","Saving Banksy","2017","UNRATED","13 Jan 2017","80 min","Documentary, News","Colin M. Day","Éva Boros (story), Paul Polycarpou","Ben Eine, Glen E. Friedman, Kelly 'Risk' Graval, Doze Green","Internationally known graffiti artist, Banksy, left his mark on San Francisco in April 2010. Little did he know that this act of vandalism would spark a chain of events that includes one of...","English","USA","1 win & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMDQ3OTE0M15BMl5BanBnXkFtZTgwNjQxMDUwMTI@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","100%","Metacritic","73/100","73","6.7","587","tt4036488","movie","N/A","$47,965","Parade Deck Films","http://www.savingbanksy.com/","True",NA
"14","Split","2016","PG-13","20 Jan 2017","117 min","Horror, Thriller","M. Night Shyamalan","M. Night Shyamalan","James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson","Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.","English","USA","8 wins & 19 nominations.","https://m.media-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg","Internet Movie Database","7.3/10","Rotten Tomatoes","76%","Metacritic","62/100","62","7.3","286,249","tt4972582","movie","18 Apr 2017","$138,120,085","Universal Pictures","http://www.splitmovie.com/","True",NA
"15","The Red Turtle","2016","PG","20 Jan 2017","80 min","Animation, Fantasy","Michael Dudok de Wit","Michael Dudok de Wit (story), Pascale Ferran (screenplay), Michael Dudok de Wit (screenplay)","Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers","A man is shipwrecked on a deserted island and encounters a red turtle, which changes his life.","None","France, Belgium, Japan","Nominated for 1 Oscar. Another 11 wins & 32 nominations.","https://m.media-amazon.com/images/M/MV5BODU3MjIxZWMtODFjYy00ZTI5LThmMzctMTMzZWFlOTIzNTc2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Internet Movie Database","7.5/10","Rotten Tomatoes","94%","Metacritic","86/100","86","7.5","22,519","tt3666024","movie","02 May 2017","$920,057","Studio Ghibli","http://sonyclassics.com/theredturtle/","True",NA
"16","Staying Vertical","2016","UNRATED","24 Aug 2016","98 min","Comedy, Drama","Alain Guiraudie","Alain Guiraudie (screenplay)","Damien Bonnard, India Hair, Raphaël Thiéry, Christian Bouillette","A film maker has to raise a child by himself whilst looking for an inspiration for his new film.","French","France","4 wins & 8 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYWFkZjViYTAtNjljNy00MDU2LTkyNWUtZDBiMDI5ZmY0NzBjXkEyXkFqcGdeQXVyNjMzMzMwMw@@._V1_SX300.jpg","Internet Movie Database","6.2/10","Rotten Tomatoes","75%","Metacritic","65/100","65","6.2","1,476","tt5231812","movie","N/A","$11,747","Strand Releasing","http://www.strandreleasing.com/films/staying-vertical/","True",NA
"17","The Sunshine Makers","2015","N/A","13 Jan 2017","101 min","Documentary, History","Cosmo Feilding-Mellen","Connie Littlefield","Nick Sand, Tim Scully","The story of Nicholas Sand and Tim Scully, the unlikely duo at the heart of 1960s American drug counter-culture.","English","UK","1 nomination.","https://m.media-amazon.com/images/M/MV5BNDQ2MTM5MzQwOF5BMl5BanBnXkFtZTgwMzM2NjA4MDI@._V1_SX300.jpg","Internet Movie Database","6.9/10","Metacritic","68/100",NA,NA,"68","6.9","757","tt4456270","movie","N/A","N/A","N/A","N/A","True",NA
"18","xXx: Return of Xander Cage","2017","PG-13","20 Jan 2017","107 min","Action, Adventure, Thriller","D.J. Caruso","Rich Wilkes (based on characters created by), F. Scott Frazier","Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.","English, Spanish, Portuguese, Mandarin, Tagalog, Russian","USA, China, Canada","1 win & 6 nominations.","https://m.media-amazon.com/images/M/MV5BMzcwMjkxMzQ3NV5BMl5BanBnXkFtZTgwMzgyNDA5MDI@._V1_SX300.jpg","Internet Movie Database","5.2/10","Rotten Tomatoes","46%","Metacritic","42/100","42","5.2","73,035","tt1293847","movie","16 May 2017","$44,850,317","Paramount Pictures","http://www.returnofxandercage.com/","True",NA
"19","We Are the Flesh","2016","NOT RATED","20 Jan 2017","79 min","Drama, Fantasy, Horror","Emiliano Rocha Minter","Emiliano Rocha Minter","Noé Hernández, María Evoli, Diego Gamaliel, Gabino Rodríguez","After wandering a ruined city for years in search of food and shelter, two siblings find their way into one of the last remaining buildings. Inside, they find a man who will make them a dangerous offer to survive the outside world.","Spanish","Mexico, France","4 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzOTk0NzA2M15BMl5BanBnXkFtZTgwODg5NTg4MDI@._V1_SX300.jpg","Internet Movie Database","4.7/10","Metacritic","62/100",NA,NA,"62","4.7","1,367","tt4682708","movie","N/A","N/A","N/A","N/A","True",NA
"20","The Founder","2016","PG-13","20 Jan 2017","115 min","Biography, Drama, History","John Lee Hancock","Robert Siegel","Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.","English, Yiddish","USA","1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BMzExNDg0MDk1M15BMl5BanBnXkFtZTgwNzE1Mjg0MDI@._V1_SX300.jpg","Internet Movie Database","7.2/10","Rotten Tomatoes","82%","Metacritic","66/100","66","7.2","87,229","tt4276820","movie","18 Apr 2017","$12,785,093","The Weinstein Company","http://thefounderfilm.com/","True",NA
"21","Sleepless","2017","R","13 Jan 2017","95 min","Action, Crime, Thriller","Baran bo Odar","Andrea Berloff (screenplay by), Frédéric Jardin (based on the film ""Nuit blanche"" written by), Nicolas Saada (based on the film ""Nuit blanche"" written by), Olivier Douyère (based on the film ""Nuit blanche"" written by)","Jamie Foxx, Michelle Monaghan, Scoot McNairy, Dermot Mulroney","A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BNjEwMDAyOTM4OV5BMl5BanBnXkFtZTgwMzc4MjMyMDI@._V1_SX300.jpg","Internet Movie Database","5.6/10","Rotten Tomatoes","23%","Metacritic","34/100","34","5.6","23,177","tt2072233","movie","18 Apr 2017","$20,757,977","Open Road Films","http://sleeplessmovie.com/","True",NA
"22","Monster Trucks","2016","PG","13 Jan 2017","104 min","Action, Adventure, Comedy","Chris Wedge","Derek Connolly (screenplay by), Matthew Robinson (story by), Jonathan Aibel (story by), Glenn Berger (story by)","Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper","A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.","English","USA, Canada","2 nominations.","https://m.media-amazon.com/images/M/MV5BMTEyMjAzMDk4ODZeQTJeQWpwZ15BbWU4MDUxNzMzMDEy._V1_SX300.jpg","Internet Movie Database","5.7/10","Rotten Tomatoes","31%","Metacritic","41/100","41","5.7","12,413","tt3095734","movie","11 Apr 2017","$33,243,820","Paramount Pictures","http://MonsterTrucksMovie.com","True",NA
"23","Reset","2017","N/A","30 Jun 2017","105 min","Action, Sci-Fi","Hong-Seung Yoon","N/A","Mi Yang, Wallace Huo, Shih-Chieh King, Chang Liu","When her son is kidnapped, the inventor of a time machine teams up with multiple versions of her future self to rescue him.","Mandarin","China","1 nomination.","https://m.media-amazon.com/images/M/MV5BNGY5MjNhYzctYWZmMS00ZjMzLWEyODQtOTFlYzMwZWVjZTM5XkEyXkFqcGdeQXVyMjExMzEyNTM@._V1_SX300.jpg","Internet Movie Database","5.2/10","Rotten Tomatoes","50%",NA,NA,"N/A","5.2","688","tt5342650","movie","06 Feb 2018","$98,574","Well Go USA Entertainment","N/A","True",NA
"24","The Son of Joseph","2016","N/A","20 Apr 2016","113 min","Drama","Eugène Green","Eugène Green (screenplay)","Victor Ezenfis, Natacha Régnier, Fabrizio Rongione, Mathieu Amalric","A discontented Parisian teenager in search of a father with (Mathieu Amalric) and (Fabrizio Rongione) as his, respectively, callous and gentle alternative paternal options, and (Natacha Régnier) as his single mother.","French","France, Belgium","3 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BNGYxN2ExYzktZTliMC00M2JlLTkzMTEtMjM0OWQxYTBhMzJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTc1NDM0NDU@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","93%","Metacritic","75/100","75","6.6","488","tt4741774","movie","N/A","$28,753","Kino Lorber","N/A","True",NA
"25","Claire in Motion","2016","N/A","13 Jan 2017","83 min","Drama","Annie J. Howell, Lisa Robinson","Annie J. Howell, Lisa Robinson","Betsy Brandt, Chris Beetem, Zev Haworth, Anna Margaret Hollyman","Claire is sure of herself, her work and family, until - like a bad dream - her husband disappears, leaving a trail of puzzling secrets that shatter her certainty.","English","USA","4 nominations.","https://m.media-amazon.com/images/M/MV5BMjExMTY4MTg2OV5BMl5BanBnXkFtZTgwMjM0OTE4MDI@._V1_SX300.jpg","Internet Movie Database","4.3/10","Rotten Tomatoes","60%","Metacritic","56/100","56","4.3","543","tt5432114","movie","13 Jan 2017","N/A","Breaking Glass Pictures","http://www.claireinmotion.com/","True",NA
"26","Bad Kids of Crestview Academy","2017","R","13 Jan 2017","100 min","Action, Comedy, Thriller","Ben Browder","Barry Wernick (screenplay), James R. Hallam (screenplay), Barry Wernick (story), Barry Wernick (graphic novel)","Sammi Hanratty, Colby Arps, Sophia Ali, Erika Daly","DETENTION SUCKS BUT IT'S KILLER FUN: It's four years later, and a new group of students has been placed in Saturday detention at the infamous and prestigious Crestview Academy. When ...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BZThkNThmNDEtYTEzNS00YThiLWJlNTEtMDM5Y2YxN2Q1M2NmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjc2NjAzMjI@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","0%","Metacritic","22/100","22","6.4","3,040","tt3349578","movie","N/A","N/A","Momentum Pictures","N/A","True",NA
"27","The Bye Bye Man","2017","PG-13","13 Jan 2017","96 min","Horror, Thriller","Stacy Title","Jonathan Penner (screenplay by), Robert Damon Schneck (based on ""The Bridge to Body Island"" by)","Douglas Smith, Lucien Laviscount, Cressida Bonas, Doug Jones","Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.","English","USA, China","N/A","https://m.media-amazon.com/images/M/MV5BMTcxOTE5NzQwNF5BMl5BanBnXkFtZTgwOTMzMTc1ODE@._V1_SX300.jpg","Internet Movie Database","4.3/10","Rotten Tomatoes","21%","Metacritic","37/100","37","4.3","15,261","tt4030600","movie","25 Apr 2017","$22,377,458","STX Entertainment","N/A","True",NA
"28","100 Streets","2016","N/A","13 Jan 2017","93 min","Drama","Jim O'Hanlon","Leon Butler","Idris Elba, Gemma Arterton, Tom Cullen, Ken Stott","Three people, three extraordinary stories. All lived out within a hundred London streets.","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BMTc5NjQ3NzkzM15BMl5BanBnXkFtZTgwMDU2MTQ2MDI@._V1_SX300.jpg","Internet Movie Database","5.7/10","Rotten Tomatoes","41%","Metacritic","44/100","44","5.7","2,980","tt2990126","movie","07 Mar 2017","N/A","Green Door Pictures","N/A","True",NA
"29","One Piece Film: Gold","2016","TV-14","10 Jan 2017","120 min","Animation, Action, Adventure","Hiroaki Miyamoto","Clint Bickham, Tsutomu Kuroiwa, Eiichiro Oda (manga)","Mayumi Tanaka, Kazuya Nakai, Akemi Okamura, Kappei Yamaguchi","The Straw Hat Pirates are taking on Gild Tesoro, one of the richest men in the world.","Japanese, English","Japan","1 nomination.","https://m.media-amazon.com/images/M/MV5BNzBiMTlhNTAtNDc4Yi00M2FiLWE3ODMtNzgwNWI3ZGFhYjNkXkEyXkFqcGdeQXVyMjQ5NjMxNDA@._V1_SX300.jpg","Internet Movie Database","7.4/10","Metacritic","43/100",NA,NA,"43","7.4","2,520","tt5251328","movie","N/A","N/A","N/A","N/A","True",NA
"30","Underworld: Blood Wars","2016","R","06 Jan 2017","91 min","Action, Adventure, Fantasy","Anna Foerster","Cory Goodman (screenplay by), Kyle Ward (story by), Cory Goodman (story by), Kevin Grevioux (based on characters created by), Len Wiseman (based on characters created by), Danny McBride (based on characters created by)","Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver","Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.","English, Saami","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjI5Njk0NTIyNV5BMl5BanBnXkFtZTgwNjU4MjY5MDI@._V1_SX300.jpg","Internet Movie Database","5.8/10","Rotten Tomatoes","21%","Metacritic","23/100","23","5.8","58,644","tt3717252","movie","25 Apr 2017","$30,348,260","Lakeshore Entertainment","http://www.underworldbloodwars-movie.com/site/","True",NA
"31","The Ardennes","2015","UNRATED","06 Jan 2017","96 min","Drama","Robin Pront","Jeroen Perceval (scenario), Robin Pront (scenario), Jeroen Perceval (play)","Kevin Janssens, Jeroen Perceval, Veerle Baetens, Jan Bijvoet","A brutal home-jacking by two brothers goes hopelessly wrong, and one of them goes to prison. Four years later, his brother tries to help him get his life back on track.","Flemish, French, Dutch","Belgium","8 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BNTA4ODQwOTItODAwOS00YmQ1LTg4OGMtZjRlN2YyNTM1YzU4XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg","Internet Movie Database","6.8/10","Metacritic","47/100",NA,NA,"47","6.8","3,945","tt2586118","movie","N/A","N/A","N/A","N/A","True",NA
"32","Arsenal","2017","R","06 Jan 2017","97 min","Action, Crime, Thriller","Steven C. Miller","Jason Mosberg","Nicolas Cage, John Cusack, Adrian Grenier, Johnathon Schaech","A Southern mobster attempts to rescue his kidnapped brother.","English","USA, Canada","N/A","https://m.media-amazon.com/images/M/MV5BMTEyMzk3ODYzMzdeQTJeQWpwZ15BbWU4MDk0MDc3ODAy._V1_SX300.jpg","Internet Movie Database","4.0/10","Rotten Tomatoes","3%","Metacritic","25/100","25","4.0","3,091","tt5580536","movie","28 Mar 2017","N/A","Emmett/Furla/Oasis Films","N/A","True",NA
"33","Master","2016","NOT RATED","06 Jan 2017","143 min","Action, Crime","Ui-seok Jo","N/A","Byung-Hun Lee, Dong-won Gang, Woo-Bin Kim, Ji-won Uhm","South Korea's financial crime unit launches a manhunt for a con man involved in a nationwide financial fraud after he absconds with the money and takes on a new identity.","Korean","South Korea","1 nomination.","https://m.media-amazon.com/images/M/MV5BMjI1MzA0ODY5NF5BMl5BanBnXkFtZTgwOTIzNDU4MDI@._V1_SX300.jpg","Internet Movie Database","6.6/10","Metacritic","53/100",NA,NA,"53","6.6","1,300","tt5735464","movie","N/A","N/A","N/A","N/A","True",NA
"34","Railroad Tigers","2016","NOT RATED","23 Dec 2016","124 min","Action, Comedy, War","Sheng Ding","Sheng Ding, Alex Jia (script advisor), He Keke","Jackie Chan, Zitao Huang, Jaycee Chan, Kai Wang","A railroad worker in China in 1941 leads a team of freedom fighters against the Japanese in order to get food for the poor.","Mandarin, Japanese, English","China","2 nominations.","https://m.media-amazon.com/images/M/MV5BMTkzNDUxNTk3MF5BMl5BanBnXkFtZTgwODYwMzE4MDI@._V1_SX300.jpg","Internet Movie Database","5.9/10","Metacritic","47/100",NA,NA,"47","5.9","2,886","tt4687848","movie","N/A","N/A","N/A","N/A","True",NA
"35","20th Century Women","2016","R","20 Jan 2017","119 min","Comedy, Drama","Mike Mills","Mike Mills","Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup","The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.","English","USA","Nominated for 1 Oscar. Another 12 wins & 67 nominations.","https://m.media-amazon.com/images/M/MV5BMTkwNDE4NzQwM15BMl5BanBnXkFtZTgwNzQ5Nzg0MDI@._V1_SX300.jpg","Internet Movie Database","7.4/10","Rotten Tomatoes","88%","Metacritic","83/100","83","7.4","28,324","tt4385888","movie","28 Mar 2017","$5,663,854","A24 Films","http://www.20thcenturywomen-movie.com/","True",NA
"36","Live by Night","2016","R","13 Jan 2017","129 min","Action, Crime, Drama, Thriller","Ben Affleck","Ben Affleck (screenplay by), Dennis Lehane (based on the novel by)","Ben Affleck, Elle Fanning, Remo Girone, Brendan Gleeson","A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","English, Spanish","USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BMjc3MDIyMjgzNl5BMl5BanBnXkFtZTgwMzUxOTg3MDI@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","35%","Metacritic","49/100","49","6.4","43,961","tt2361317","movie","21 Mar 2017","$10,377,558","Warner Bros. Pictures","http://www.livebynight.movie/","True",NA
"37","Silence","2016","R","13 Jan 2017","161 min","Adventure, Drama, History","Martin Scorsese","Jay Cocks (screenplay by), Martin Scorsese (screenplay by), Shûsaku Endô (based on the novel by)","Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.","English, Japanese, Latin","Mexico, Taiwan, UK, USA, Japan, Italy","Nominated for 1 Oscar. Another 6 wins & 51 nominations.","https://m.media-amazon.com/images/M/MV5BMjY3OTk0NjA2NV5BMl5BanBnXkFtZTgwNTg3Mjc2MDI@._V1_SX300.jpg","Internet Movie Database","7.2/10","Rotten Tomatoes","84%","Metacritic","79/100","79","7.2","79,073","tt0490215","movie","28 Mar 2017","$7,063,885","Paramount Pictures","http://www.silencemovie.com/","True",NA
